"Country","Arearef","Shortname","Areaname"
"SC","M26A","Central Scotland from Dumbarton to Montrose","26A: Central Scotland from Dumbarton to Montrose"
"SC","M26B","Central Scotland from Dumbarton to Montrose","26B: Central Scotland from Dumbarton to Montrose"
"(All)","(All)","(All)","(All)"
"EN","U06","Blackburn with Darwen","Blackburn with Darwen (UA)"
"EN","U07","Blackpool","Blackpool (UA)"
"WA","U08","Blaenau Gwent","Blaenau Gwent (UA)"
"EN","U09","Bolton","Bolton (UA)"
"EN","U10","Bournemouth","Bournemouth (UA)"
"EN","U11","Bracknell Forest","Bracknell Forest (UA)"
"EN","U12","Bradford","Bradford (UA)"
"WA","U13","Bridgend","Bridgend (UA)"
"EN","U14","Brighton and Hove","Brighton and Hove (UA)"
"EN","U15","Bristol","Bristol (UA)"
"EN","U16","Buckinghamshire","Buckinghamshire (CoU)"
"EN","U17","Bury","Bury (UA)"
"WA","U18","Caerphilly","Caerphilly (UA)"
"EN","U19","Calderdale","Calderdale (UA)"
"EN","U20","Cambridgeshire","Cambridgeshire (CoU)"
"WA","U21","Cardiff","Cardiff (UA)"
"WA","U22","Cardiganshire [Ceredigion]","Cardiganshire [Ceredigion] (CoU)"
"WA","U23","Carmarthenshire [Sir Gaerfyrddin]","Carmarthenshire [Sir Gaerfyrddin] (CoU)"
"EN","U24","Cheshire East","Cheshire East (CoU)"
"WA","U25","Conwy","Conwy (CoU)"
"EN","U26","Cornwall","Cornwall (CoU)"
"EN","U27","Coventry","Coventry (UA)"
"EN","U28","Cumbria","Cumbria (CoU)"
"EN","U29","Darlington","Darlington (UA)"
"WA","U30","Denbighshire [Sir Ddinbych]","Denbighshire [Sir Ddinbych] (CoU)"
"EN","U31","Derby","Derby (UA)"
"EN","U32","Derbyshire","Derbyshire (CoU)"
"EN","U33","Devon","Devon (CoU)"
"EN","U34","Doncaster","Doncaster (UA)"
"EN","U35","Dorset","Dorset (CoU)"
"EN","U36","Dudley","Dudley (UA)"
"EN","U37","Durham","Durham (CoU)"
"EN","U38","East Sussex","East Sussex (CoU)"
"EN","U39","Essex","Essex (CoU)"
"WA","U40","Flintshire [Sir Fflint]","Flintshire [Sir Fflint] (CoU)"
"EN","U41","Gateshead","Gateshead (CoU)"
"EN","U42","Gloucestershire","Gloucestershire (CoU)"
"EN","U43","Greater London","Greater London (CoU)"
"WA","U44","Gwynedd","Gwynedd (CoU)"
"EN","U45","Halton","Halton (UA)"
"EN","U46","Hampshire","Hampshire (CoU)"
"EN","U47","Hartlepool","Hartlepool (UA)"
"EN","U48","Herefordshire","Herefordshire (CoU)"
"EN","U49","Hertfordshire","Hertfordshire (CoU)"
"IM","U50","Isle of Man","Isle of Man (CoU)"
"EN","U51","Isle of Wight","Isle of Wight (CoU)"
"EN","U52","Isles of Scilly","Isles of Scilly (UA)"
"EN","U53","Kent","Kent (CoU)"
"EN","U54","Kingston upon Hull","Kingston upon Hull (UA)"
"EN","U55","Kirklees","Kirklees (CoU)"
"EN","U56","Knowsley","Knowsley (UA)"
"EN","U57","Lancashire","Lancashire (CoU)"
"EN","U58","Leeds","Leeds (UA)"
"EN","U59","Leicester","Leicester (UA)"
"EN","U60","Leicestershire","Leicestershire (CoU)"
"EN","U61","Lincolnshire","Lincolnshire (CoU)"
"EN","U62","Liverpool","Liverpool (UA)"
"EN","U63","Luton","Luton (UA)"
"EN","U64","Manchester","Manchester (UA)"
"EN","U65","Medway","Medway (UA)"
"WA","U66","Merthyr Tydfil","Merthyr Tydfil (UA)"
"EN","U67","Middlesbrough","Middlesbrough (UA)"
"EN","U68","Milton Keynes","Milton Keynes (UA)"
"WA","U69","Monmouthshire [Sir Fynwy]","Monmouthshire [Sir Fynwy] (CoU)"
"WA","U70","Neath Port Talbot","Neath Port Talbot (CoU)"
"EN","U71","Newcastle upon Tyne","Newcastle upon Tyne (UA)"
"WA","U72","Newport","Newport (UA)"
"EN","U73","Norfolk","Norfolk (CoU)"
"EN","U74","North Lincolnshire","North Lincolnshire (UA)"
"EN","U75","North Somerset","North Somerset (UA)"
"EN","U76","North Tyneside","North Tyneside (UA)"
"EN","U77","North Yorkshire","North Yorkshire (CoU)"
"EN","U78","North-East Lincolnshire","North-East Lincolnshire (UA)"
"EN","U79","Northamptonshire","Northamptonshire (CoU)"
"EN","U80","Northumberland","Northumberland (CoU)"
"EN","U81","Nottingham","Nottingham (UA)"
"EN","U82","Nottinghamshire","Nottinghamshire (CoU)"
"EN","U83","Oldham","Oldham (CoU)"
"EN","U84","Oxfordshire","Oxfordshire (CoU)"
"WA","U85","Pembrokeshire [Sir Benfro]","Pembrokeshire [Sir Benfro] (CoU)"
"EN","U86","Peterborough","Peterborough (UA)"
"EN","U87","Plymouth","Plymouth (UA)"
"EN","U88","Poole","Poole (UA)"
"EN","U89","Portsmouth","Portsmouth (UA)"
"WA","U90","Powys","Powys (CoU)"
"EN","U91","Reading","Reading (UA)"
"EN","U92","Redcar and Cleveland","Redcar and Cleveland (CoU)"
"WA","U93","Rhondda Cynon Taff","Rhondda Cynon Taff (CoU)"
"EN","U94","Rochdale","Rochdale (UA)"
"EN","U95","Rotherham","Rotherham (UA)"
"EN","U96","Rutland","Rutland (CoU)"
"EN","U97","Salford","Salford (UA)"
"EN","U98","Sandwell","Sandwell (CoU)"
"EN","U99","Sefton","Sefton (UA)"
"EN","U100","Sheffield","Sheffield (CoU)"
"EN","U101","Shropshire","Shropshire (CoU)"
"EN","U102","Slough","Slough (UA)"
"EN","U103","Solihull","Solihull (UA)"
"EN","U104","Somerset","Somerset (CoU)"
"EN","U105","South Gloucestershire","South Gloucestershire (UA)"
"EN","U106","South Tyneside","South Tyneside (UA)"
"EN","U107","Southampton","Southampton (UA)"
"EN","U108","Southend-on-Sea","Southend-on-Sea (UA)"
"EN","U109","St Helens","St Helens (CoU)"
"EN","U110","Staffordshire","Staffordshire (CoU)"
"EN","U111","Stockport","Stockport (UA)"
"EN","U112","Stockton-on-Tees","Stockton-on-Tees (UA)"
"EN","U113","Stoke on Trent","Stoke on Trent (UA)"
"EN","U114","Suffolk","Suffolk (CoU)"
"EN","U115","Sunderland","Sunderland (UA)"
"EN","U116","Surrey","Surrey (CoU)"
"WA","U117","Swansea","Swansea (UA)"
"EN","U118","Swindon","Swindon (UA)"
"EN","U119","Tameside","Tameside (UA)"
"EN","U120","Telford and Wrekin","Telford and Wrekin (UA)"
"EN","U121","Thurrock","Thurrock (UA)"
"EN","U122","Torbay","Torbay (UA)"
"WA","U123","Torfaen","Torfaen (UA)"
"EN","U124","Trafford","Trafford (UA)"
"WA","U125","Vale of Glamorgan","Vale of Glamorgan (UA)"
"EN","U126","Wakefield","Wakefield (UA)"
"EN","U127","Walsall","Walsall (UA)"
"EN","U128","Warrington","Warrington (UA)"
"EN","U129","Warwickshire","Warwickshire (CoU)"
"EN","U130","West Berkshire","West Berkshire (CoU)"
"EN","U131","West Sussex","West Sussex (CoU)"
"EN","U132","Wigan","Wigan (UA)"
"EN","U133","Wiltshire","Wiltshire (CoU)"
"EN","U134","Windsor and Maidenhead","Windsor and Maidenhead (UA)"
"EN","U135","Wirral","Wirral (UA)"
"EN","U136","Wokingham","Wokingham (UA)"
"EN","U137","Wolverhampton","Wolverhampton (UA)"
"EN","U138","Worcestershire","Worcestershire (CoU)"
"WA","U139","Wrexham","Wrexham (CoU)"
"EN","U140","York","York (UA)"
"EN","U141","Yorkshire E Riding","Yorkshire E Riding (CoU)"
"IR","C101","Antrim","Antrim"
"IR","C102","Armagh","Armagh"
"IR","C103","Carlow","Carlow"
"IR","C104","Cavan","Cavan"
"IR","C105","Clare","Clare"
"IR","C106","Cork","Cork"
"IR","C107","Donegal","Donegal"
"IR","C108","Down","Down"
"IR","C109","Dublin","Dublin"
"IR","C110","Fermanagh","Fermanagh"
"IR","C111","Galway","Galway"
"IR","C112","Kerry","Kerry"
"IR","C113","Kildare","Kildare"
"IR","C114","Kilkenny","Kilkenny"
"IR","C115","Laois","Laois"
"IR","C116","Leitrim","Leitrim"
"IR","C117","Limerick","Limerick"
"IR","C118","Londonderry","Londonderry"
"IR","C119","Longford","Longford"
"IR","C120","Louth","Louth"
"IR","C121","Mayo","Mayo"
"IR","C122","Meath","Meath"
"IR","C123","Monaghan","Monaghan"
"IR","C124","Offaly","Offaly"
"IR","C125","Roscommon","Roscommon"
"IR","C126","Sligo","Sligo"
"IR","C127","Tipperary","Tipperary"
"IR","C128","Tyrone","Tyrone"
"IR","C129","Waterford","Waterford"
"IR","C130","Westmeath","Westmeath"
"IR","C131","Wexford","Wexford"
"IR","C132","Wicklow","Wicklow"
"IR","M43","Armagh, Down and Antrim","43: Armagh, Down and Antrim"
"IR","M43A","County Armagh","43A: County Armagh"
"IR","M43B","Mourne Mountains","43B: Mourne Mountains"
"IR","M43C","Antrim Mountains","43C: Antrim Mountains"
"IR","M44","Londonderry, Tyrone and Fermanagh","44: Londonderry, Tyrone and Fermanagh"
"IR","M44A","Londonderry and N Tyrone","44A: Londonderry and N Tyrone"
"IR","M44B","Sperrin Mountains","44B: Sperrin Mountains"
"IR","M45","Donegal to Sligo","45: Donegal to Sligo"
"IR","M45A","North East Donegal","45A: North East Donegal"
"IR","M45B","Derryveagh, Glendowan","45B: Derryveagh, Glendowan"
"IR","M45C","Blue Stack Mountains","45C: Blue Stack Mountains"
"IR","M45D","Leitrim and W Cavan","45D: Leitrim and W Cavan"
"IR","M45E","Sligo and N Roscommon","45E: Sligo and N Roscommon"
"IR","M46","North Mayo","46: North Mayo"
"IR","M46A","North Mayo","46A: North Mayo"
"IR","M46B","Nephin Beg Range","46B: Nephin Beg Range"
"IR","M46C","Achill Island","46C: Achill Island"
"IR","M47","Connemara to South Mayo","47: Connemara to South Mayo"
"IR","M47A","South Mayo and Central Galway","47A: South Mayo and Central Galway"
"IR","M47B","The Twelve Bens","47B: The Twelve Bens"
"IR","M47C","Maumturk Mountains","47C: Maumturk Mountains"
"IR","M48","Clare, Limerick and Cork","48: Clare, Limerick and Cork"
"IR","M48A","County Clare","48A: County Clare"
"IR","M48B","County Limerick","48B: County Limerick"
"IR","M48C","North Cork","48C: North Cork"
"IR","M49","Dingle Peninsula","49: Dingle Peninsula"
"IR","M49A","Dingle Peninsula - West of Dingle","49A: Dingle Peninsula - West of Dingle"
"IR","M49B","Dingle Peninsula - East of Dingle","49B: Dingle Peninsula - East of Dingle"
"IR","M50","Iveragh Peninsula","50: Iveragh Peninsula"
"IR","M50A","Iveragh Peninsula N","50A: Iveragh Peninsula N"
"IR","M50B","Iveragh Peninsula S","50B: Iveragh Peninsula S"
"IR","M50C","Macgillycuddy's Reeks","50C: Macgillycuddy's Reeks"
"IR","M51","Beara Peninsula to Clear Island","51: Beara Peninsula to Clear Island"
"IR","M51A","Beara Peninsula","51A: Beara Peninsula"
"IR","M51B","Bantry to Clear Island","51B: Bantry to Clear Island"
"IR","M52","Kenmare to Macroom","52: Kenmare to Macroom"
"IR","M52A","Shehy Mountains","52A: Shehy Mountains"
"IR","M52B","South Cork","52B: South Cork"
"IR","M53","Tipperary","53: Tipperary"
"IR","M53A","Galty Mountains","53A: Galty Mountains"
"IR","M53B","County Tipperary","53B: County Tipperary"
"IR","M54","Waterford, Kilkenny and Carlow","54: Waterford, Kilkenny and Carlow"
"IR","M54A","Knockmealdown, Comeragh and Monavullagh Mountains","54A: Knockmealdown, Comeragh and Monavullagh Mountains"
"IR","M54B","Waterford, Kilkenny, Carlow","54B: Waterford, Kilkenny, Carlow"
"IR","M55","Wicklow","55: Wicklow"
"IR","M55A","Wicklow Hills S","55A: Wicklow Hills S"
"IR","M55B","Wicklow Hills N","55B: Wicklow Hills N"
"IR","M56","Central Lowlands","56: Central Lowlands"
"IR","M56A","Central Lowlands","56A: Central Lowlands"
"IR","M56B","Slieve Bloom Mountains","56B: Slieve Bloom Mountains"
"SC","A60","Borders","Borders (CoA)"
"SC","A61","Central","Central (CoA)"
"SC","A62","Dumfries & Galloway","Dumfries & Galloway (CoA)"
"SC","A63","Fife","Fife (CoA)"
"SC","A64","Grampian","Grampian (CoA)"
"SC","A65","Highland","Highland (CoA)"
"SC","A66","Lothian","Lothian (CoA)"
"SC","A67","Strathclyde","Strathclyde (CoA)"
"SC","A68","Tayside","Tayside (CoA)"
"SC","A69","Orkney","Orkney (CoA)"
"SC","A70","Shetland","Shetland (CoA)"
"SC","A71","Western Isles","Western Isles (CoA)"
"SC","C65","Aberdeenshire","Aberdeenshire (CoH)"
"SC","C66","Angus","Angus (CoH)"
"SC","C67","Argyllshire","Argyllshire (CoH)"
"SC","C68","Ayrshire","Ayrshire (CoH)"
"SC","C69","Banffshire","Banffshire (CoH)"
"EN","A01","Avon","Avon (CoA)"
"EN","A02","Bedfordshire","Bedfordshire (CoA)"
"EN","A03","Berkshire","Berkshire (CoA)"
"EN","A04","Buckinghamshire","Buckinghamshire (CoA)"
"EN","A05","Cambridgeshire","Cambridgeshire (CoA)"
"EN","A06","Cheshire","Cheshire (CoA)"
"EN","A07","Cleveland","Cleveland (CoA)"
"WA","A08","Clwyd","Clwyd (CoA)"
"EN","A09","Cornwall","Cornwall (CoA)"
"EN","A10","Cumbria","Cumbria (CoA)"
"EN","A11","Derbyshire","Derbyshire (CoA)"
"EN","A12","Devon","Devon (CoA)"
"EN","A13","Dorset","Dorset (CoA)"
"EN","A14","Durham","Durham (CoA)"
"WA","A15","Dyfed","Dyfed (CoA)"
"EN","A16","East Sussex","East Sussex (CoA)"
"EN","A17","Essex","Essex (CoA)"
"EN","A18","Gloucestershire","Gloucestershire (CoA)"
"EN","A19","Greater London","Greater London (CoA)"
"EN","A20","Greater Manchester","Greater Manchester (CoA)"
"WA","A21","Gwent","Gwent (CoA)"
"WA","A22","Gwynedd","Gwynedd (CoA)"
"EN","A23","Hampshire","Hampshire (CoA)"
"EN","A24","Hereford & Worcester","Hereford & Worcester (CoA)"
"EN","A25","Hertfordshire","Hertfordshire (CoA)"
"EN","A26","Humberside","Humberside (CoA)"
"IM","A27","Isle of Man","Isle of Man (CoA)"
"EN","A28","Isle of Wight","Isle of Wight (CoA)"
"EN","A29","Kent","Kent (CoA)"
"EN","A30","Lancashire","Lancashire (CoA)"
"EN","A31","Leicestershire","Leicestershire (CoA)"
"EN","A32","Lincolnshire","Lincolnshire (CoA)"
"EN","A33","Merseyside","Merseyside (CoA)"
"WA","A34","Mid Glamorgan","Mid Glamorgan (CoA)"
"EN","A35","Norfolk","Norfolk (CoA)"
"EN","A36","North Yorkshire","North Yorkshire (CoA)"
"EN","A37","Northamptonshire","Northamptonshire (CoA)"
"EN","A38","Northumberland","Northumberland (CoA)"
"EN","A39","Nottinghamshire","Nottinghamshire (CoA)"
"EN","A40","Oxfordshire","Oxfordshire (CoA)"
"WA","A41","Powys","Powys (CoA)"
"EN","A42","Shropshire","Shropshire (CoA)"
"EN","A43","Somerset","Somerset (CoA)"
"WA","A44","South Glamorgan","South Glamorgan (CoA)"
"EN","A45","South Yorkshire","South Yorkshire (CoA)"
"EN","A46","Staffordshire","Staffordshire (CoA)"
"EN","A47","Suffolk","Suffolk (CoA)"
"EN","A48","Surrey","Surrey (CoA)"
"EN","A49","Tyne and Wear","Tyne and Wear (CoA)"
"EN","A50","Warwickshire","Warwickshire (CoA)"
"WA","A51","West Glamorgan","West Glamorgan (CoA)"
"EN","A52","West Midlands","West Midlands (CoA)"
"EN","A53","West Sussex","West Sussex (CoA)"
"EN","A54","West Yorkshire","West Yorkshire (CoA)"
"EN","A55","Wiltshire","Wiltshire (CoA)"
"WA","C01","Anglesey [Sir Fon]","Anglesey [Sir Fon] (CoH)"
"EN","C02","Bedfordshire","Bedfordshire (CoH)"
"EN","C03","Berkshire","Berkshire (CoH)"
"WA","C04","Brecknockshire [Sir Frycheiniog]","Brecknockshire [Sir Frycheiniog] (CoH)"
"EN","C05","Buckinghamshire","Buckinghamshire (CoH)"
"WA","C06","Caernarfonshire [Sir Gaernarfon]","Caernarfonshire [Sir Gaernarfon] (CoH)"
"EN","C07","Cambridgeshire","Cambridgeshire (CoH)"
"WA","C08","Cardiganshire [Ceredigion]","Cardiganshire [Ceredigion] (CoH)"
"WA","C09","Carmarthenshire [Sir Gaerfyrddin]","Carmarthenshire [Sir Gaerfyrddin] (CoH)"
"EN","C10","Cheshire","Cheshire (CoH)"
"EN","C11","Cornwall","Cornwall (CoH)"
"EN","C12","Cumberland","Cumberland (CoH)"
"WA","C13","Denbighshire [Sir Ddinbych]","Denbighshire [Sir Ddinbych] (CoH)"
"EN","C14","Derbyshire","Derbyshire (CoH)"
"EN","C15","Devon","Devon (CoH)"
"EN","C16","Dorset","Dorset (CoH)"
"EN","C17","Durham","Durham (CoH)"
"EN","C18","Sussex, East","Sussex, East (CoH)"
"EN","C19","Essex","Essex (CoH)"
"WA","C20","Flintshire [Sir Fflint]","Flintshire [Sir Fflint] (CoH)"
"WA","C21","Glamorgan [Morgannwg]","Glamorgan [Morgannwg] (CoH)"
"EN","C22","Gloucestershire","Gloucestershire (CoH)"
"EN","C23","Hampshire","Hampshire (CoH)"
"EN","C24","Herefordshire","Herefordshire (CoH)"
"EN","C25","Hertfordshire","Hertfordshire (CoH)"
"EN","C26","Huntingdonshire","Huntingdonshire (CoH)"
"IM","C27","Isle of Man","Isle of Man (CoH)"
"EN","C28","Isle of Wight","Isle of Wight (CoH)"
"EN","C29","Kent","Kent (CoH)"
"EN","C30","Lancashire","Lancashire (CoH)"
"EN","C31","Leicestershire","Leicestershire (CoH)"
"EN","C32","Lincolnshire, Parts of Lindsey","Lincolnshire, Parts of Lindsey (CoH)"
"EN","C33","County of London","County of London (CoH)"
"WA","C34","Merionethshire [Meirionnydd]","Merionethshire [Meirionnydd] (CoH)"
"EN","C35","Middlesex","Middlesex (CoH)"
"WA","C36","Monmouthshire [Sir Fynwy]","Monmouthshire [Sir Fynwy] (CoH)"
"WA","C37","Montgomeryshire [Sir Drefaldwyn]","Montgomeryshire [Sir Drefaldwyn] (CoH)"
"EN","C38","Norfolk","Norfolk (CoH)"
"EN","C39","Northamptonshire","Northamptonshire (CoH)"
"EN","C40","Northumberland","Northumberland (CoH)"
"EN","C41","Nottinghamshire","Nottinghamshire (CoH)"
"EN","C42","Oxfordshire","Oxfordshire (CoH)"
"WA","C43","Pembrokeshire [Sir Benfro]","Pembrokeshire [Sir Benfro] (CoH)"
"WA","C44","Radnorshire [Sir Faesyfed]","Radnorshire [Sir Faesyfed] (CoH)"
"EN","C45","Rutland","Rutland (CoH)"
"EN","C46","Shropshire","Shropshire (CoH)"
"EN","C47","Somerset","Somerset (CoH)"
"EN","C48","Staffordshire","Staffordshire (CoH)"
"EN","C49","Suffolk, West","Suffolk, West (CoH)"
"EN","C50","Surrey","Surrey (CoH)"
"EN","C51","Warwickshire","Warwickshire (CoH)"
"EN","C52","Sussex, West","Sussex, West (CoH)"
"EN","C53","Westmorland","Westmorland (CoH)"
"EN","C54","Wiltshire","Wiltshire (CoH)"
"EN","C55","Worcestershire","Worcestershire (CoH)"
"EN","C56","Yorkshire, East Riding","Yorkshire, East Riding (CoH)"
"EN","C57","Yorkshire, North Riding","Yorkshire, North Riding (CoH)"
"EN","C58","Yorkshire, West Riding","Yorkshire, West Riding (CoH)"
"EN","C59","Suffolk, East","Suffolk, East (CoH)"
"EN","C60","Lincolnshire, Parts of Holland","Lincolnshire, Parts of Holland (CoH)"
"EN","C61","Lincolnshire, Parts of Kesteven","Lincolnshire, Parts of Kesteven (CoH)"
"EN","C62","Cambridgeshire, Isle of Ely","Cambridgeshire, Isle of Ely (CoH)"
"EN","C63","Northamptonshire, Soke of Peterborough","Northamptonshire, Soke of Peterborough (CoH)"
"EN","C64","Huntingdon & Peterborough","Huntingdon & Peterborough (CoH)"
"IM","M29","Isle of Man","29: Isle of Man"
"WA","M30","North Wales","30: North Wales"
"WA","M30A","Anglesey and the Lleyn Peninsula","30A: Anglesey and the Lleyn Peninsula"
"WA","M30B","Snowdonia","30B: Snowdonia"
"WA","M30C","Llandudno to Wrexham","30C: Llandudno to Wrexham"
"SC","M06","Forest of Atholl to Braemar and Blairgowrie","6: Forest of Atholl to Braemar and Blairgowrie"
"SC","M06A","Glen Tromie to Glen Tilt","6A: Glen Tromie to Glen Tilt"
"SC","M06B","Pitlochry to Braemar and Blairgowrie","6B: Pitlochry to Braemar and Blairgowrie"
"SC","M07","Braemar to Montrose","7: Braemar to Montrose"
"SC","M07A","Braemar to Montrose","7A: Braemar to Montrose"
"SC","M07B","Braemar to Montrose","7B: Braemar to Montrose"
"SC","M08","The Cairngorms","8: The Cairngorms"
"SC","M08A","Cairngorms","8A: Cairngorms"
"SC","M08B","Cairngorms","8B: Cairngorms"
"SC","M09","Spean Bridge to Elgin","9: Spean Bridge to Elgin"
"SC","M09A","Inverness to Strathspey","9A: Inverness to Strathspey"
"SC","M09B","Glen Albyn and the Monadh Liath","9B: Glen Albyn and the Monadh Liath"
"SC","M09C","Loch Lochy to Loch Laggan","9C: Loch Lochy to Loch Laggan"
"SC","M10","Glen Shiel to Glenfinnan","10: Glen Shiel to Glenfinnan"
"SC","M10A","Glen Shiel to Loch Hourn and Loch Quoich","10A: Glen Shiel to Loch Hourn and Loch Quoich"
"SC","M10B","Knoydart to Glen Kingie","10B: Knoydart to Glen Kingie"
"SC","M10C","Loch Arkaig to Glen Moriston","10C: Loch Arkaig to Glen Moriston"
"SC","M10D","Mallaig to Fort William","10D: Mallaig to Fort William"
"SC","M11","Loch Duich to Loch Ness, South of Loch Mullardoch","11: Loch Duich to Loch Ness, South of Loch Mullardoch"
"SC","M11A","Loch Duich to Cannich","11A: Loch Duich to Cannich"
"SC","M11B","Glen Affric to Glen Moriston","11B: Glen Affric to Glen Moriston"
"SC","M12","Lochalsh to Inverness, North of Loch Mullardoch","12: Lochalsh to Inverness, North of Loch Mullardoch"
"SC","M12A","Kyle of Lochalsh to Garve","12A: Kyle of Lochalsh to Garve"
"SC","M12B","Killilan to Inverness","12B: Killilan to Inverness"
