"Country","Arearef","Shortname","Areaname"
"SC","M13","Loch Carron to Loch Maree","13: Loch Carron to Loch Maree"
"SC","M13A","Loch Torridon to Loch Maree","13A: Loch Torridon to Loch Maree"
"SC","M13B","Applecross to Achnasheen","13B: Applecross to Achnasheen"
"SC","M14","Loch Maree to Loch Broom and Garve","14: Loch Maree to Loch Broom and Garve"
"WA","M30D","Barmouth to Betws-y-Coed and Bala","30D: Barmouth to Betws-y-Coed and Bala"
"WA","M30E","Bala to Welshpool","30E: Bala to Welshpool"
"WA","M30F","Dolgellau to Machynlleth","30F: Dolgellau to Machynlleth"
"WA","M31","Mid Wales and Pembrokeshire","31: Mid Wales and Pembrokeshire"
"WA","M31A","Aberystwyth to Welshpool","31A: Aberystwyth to Welshpool"
"WA","M31B","Welshpool to Hay-on-Wye","31B: Welshpool to Hay-on-Wye"
"WA","M31C","South-West Wales","31C: South-West Wales"
"WA","M32","South Wales","32: South Wales"
"WA","M32A","Llandovery to Monmouth","32A: Llandovery to Monmouth"
"WA","M32B","Carmarthen to Vale of Neath","32B: Carmarthen to Vale of Neath"
"WA","M32C","Neath to Chepstow","32C: Neath to Chepstow"
"EN","M33","The Scottish Border to the River Tyne","33: The Scottish Border to the River Tyne"
"EN","M34","The Lake District","34: The Lake District"
"EN","M34A","Lake District - Northern Fells","34A: Lake District - Northern Fells"
"EN","M34B","Lake District - Central & Western Fells","34B: Lake District - Central & Western Fells"
"EN","M34C","Lake District - Eastern Fells","34C: Lake District - Eastern Fells"
"EN","M34D","Southern Cumbria","34D: Southern Cumbria"
"EN","M35","The Northern and Central Pennines","35: The Northern and Central Pennines"
"EN","M35A","The Northern Pennines","35A: The Northern Pennines"
"EN","M35B","The Central Pennines","35B: The Central Pennines"
"EN","M36","Lancashire, Cheshire & the Southern Pennines","36: Lancashire, Cheshire & the Southern Pennines"
"EN","M37","The River Tees to The Wash","37: The River Tees to The Wash"
"EN","M38","The Welsh Borders","38: The Welsh Borders"
"EN","M38A","Shropshire","38A: Shropshire"
"EN","M38B","West Gloucestershire, Hereford & Worcester","38B: West Gloucestershire, Hereford & Worcester"
"EN","M39","Central and Eastern England","39: Central and Eastern England"
"EN","M40","Cornwall & Devon","40: Cornwall & Devon"
"EN","M41","South Central England","41: South Central England"
"EN","M42","South-East England & the Isle of Wight","42: South-East England & the Isle of Wight"
"EN","NE01","Lake District N","Lake District - Northern Fells"
"EN","NE02","Lake District NW","Lake District - North Western Fells"
"EN","NE03","Lake District W","Lake District - Western Fells"
"EN","NE04","Lake District C","Lake District - Central Fells"
"EN","NE05","Lake District S","Lake District - Southern Fells"
"EN","NE06","Lake District E","Lake District - Eastern Fells"
"EN","NE07","Lake District FE","Lake District - Far Eastern Fells"
"EN","NE08","Cheviots","The Cheviots"
"EN","NE09","North Pennines W","North Pennines - Western Fells"
"EN","NE10","North Pennines E","North Pennines - Eastern Fells"
"EN","NE11","Yorkshire Dales N","Yorkshire Dales - Northern Fells"
"EN","NE12","Yorkshire Dales S","Yorkshire Dales - Southern Fells"
"EN","NE13D","Dartmoor","Dartmoor"
"EN","NE13P","Peak District","The Peak District"
"WA","NW01","Carneddau","The Carneddau"
"WA","NW02","Glyders","The Glyders"
"WA","NW03","Snowdon","Snowdon"
"WA","NW04","Moel Hebog","Moel Hebog"
"WA","NW05","Moelwyns","The Moelwyns"
"WA","NW06","Arenigs","The Arenigs"
"WA","NW07","Berwyns","The Berwyns"
"WA","NW08","Arans","The Arans"
"WA","NW09","Rhinogs","The Rhinogs"
"WA","NW10","Cadair Idris","Cadair Idris"
"WA","NW11E","Elan Valley","Central Wales - Elan Valley"
"WA","NW11P","Pumlumon","Central Wales - Pumlumon"
"WA","NW11R","Radnor Forest","Central Wales - Radnor Forest"
"WA","NW12","Black Mountains","Black Mountains"
"WA","NW13","Brecon Beacons","Brecon Beacons"
"WA","U01","Anglesey [Sir Fon]","Anglesey [Sir Fon] (CoU)"
"EN","U02","Barnsley","Barnsley (UA)"
"EN","U03","Bath and NE Somerset","Bath and NE Somerset (CoU)"
"EN","U04","Central Bedfordshire","Central Bedfordshire (CoU)"
"EN","U05","Birmingham","Birmingham (UA)"
"SC","C70","Berwickshire","Berwickshire (CoH)"
"SC","C71","Buteshire","Buteshire (CoH)"
"SC","C72","Caithness","Caithness (CoH)"
"SC","C73","Clackmannanshire","Clackmannanshire (CoH)"
"SC","C74","Dumfriesshire","Dumfriesshire (CoH)"
"SC","C75","Dunbartonshire","Dunbartonshire (CoH)"
"SC","C76","East Lothian","East Lothian (CoH)"
"SC","C77","Fife","Fife (CoH)"
"SC","C78","Inverness-shire","Inverness-shire (CoH)"
"SC","C79","Kincardineshire","Kincardineshire (CoH)"
"SC","C80","Kinross-shire","Kinross-shire (CoH)"
"SC","C81","Kirkcucbrightshire","Kirkcucbrightshire (CoH)"
"SC","C82","Lanarkshire","Lanarkshire (CoH)"
"SC","C83","Midlothian","Midlothian (CoH)"
"SC","C84","Morayshire","Morayshire (CoH)"
"SC","C85","Nairnshire","Nairnshire (CoH)"
"SC","C86","Orkney","Orkney (CoH)"
"SC","C87","Peeblesshire","Peeblesshire (CoH)"
"SC","C88","Perthshire","Perthshire (CoH)"
"SC","C89","Renfrewshire","Renfrewshire (CoH)"
"SC","C90","Ross and Cromarty","Ross and Cromarty (CoH)"
"SC","C91","Roxburghshire","Roxburghshire (CoH)"
"SC","C92","Selkirkshire","Selkirkshire (CoH)"
"SC","C93","Shetland","Shetland (CoH)"
"SC","C94","Stirlingshire","Stirlingshire (CoH)"
"SC","C95","Sutherland","Sutherland (CoH)"
"SC","C96","West Lothian","West Lothian (CoH)"
"SC","C97","Wigtownshire","Wigtownshire (CoH)"
"SC","M01","Firth of Clyde to Strath Tay","1: Firth of Clyde to Strath Tay"
"SC","M01A","Loch Tay to Perth","1A: Loch Tay to Perth"
"SC","M01B","Strathyre to Strathallan","1B: Strathyre to Strathallan"
"SC","M01C","Loch Lomond to Strathyre","1C: Loch Lomond to Strathyre"
"SC","M01D","Inveraray to Crianlarich","1D: Inveraray to Crianlarich"
"SC","M01E","Loch Long to Loch Lomond","1E: Loch Long to Loch Lomond"
"SC","M02","Loch Rannoch to Loch Tay","2: Loch Rannoch to Loch Tay"
"SC","M02A","Loch Rannoch to Glen Lyon","2A: Loch Rannoch to Glen Lyon"
"SC","M02B","Glen Lyon to Glen Dochart and Loch Tay","2B: Glen Lyon to Glen Dochart and Loch Tay"
"SC","M03","Loch Leven to Connel Bridge and Glen Lochy","3: Loch Leven to Connel Bridge and Glen Lochy"
"SC","M03A","Loch Leven to Rannoch Station","3A: Loch Leven to Rannoch Station"
"SC","M03B","Loch Linnhe to Loch Etive","3B: Loch Linnhe to Loch Etive"
"SC","M03C","Glen Etive to Glen Lochy","3C: Glen Etive to Glen Lochy"
"SC","M04","Fort William to Loch Ericht","4: Fort William to Loch Ericht"
"SC","M04A","Fort William to Loch Treig and Loch Leven","4A: Fort William to Loch Treig and Loch Leven"
"SC","M04B","Loch Treig to Loch Ericht","4B: Loch Treig to Loch Ericht"
"SC","M05","Loch Ericht to Glen Tromie and Glen Garry","5: Loch Ericht to Glen Tromie and Glen Garry"
"SC","M14A","Loch Maree to Loch Broom","14A: Loch Maree to Loch Broom"
"SC","M14B","The Fannaichs","14B: The Fannaichs"
"SC","M15","Ullapool to the Moray Firth","15: Ullapool to the Moray Firth"
"SC","M15A","Loch Broom to Strath Oykel","15A: Loch Broom to Strath Oykel"
"SC","M15B","Loch Vaich to Moray Firth","15B: Loch Vaich to Moray Firth"
"SC","M16","The Far North","16: The Far North"
"SC","M16A","Cape Wrath Peninsula","16A: Cape Wrath Peninsula"
"SC","M16B","Durness to Loch Shin","16B: Durness to Loch Shin"
"SC","M16C","Tongue to Wick and Helmsdale","16C: Tongue to Wick and Helmsdale"
"SC","M16D","Altnaharra to Dornoch","16D: Altnaharra to Dornoch"
"SC","M16E","Scourie to Lairg","16E: Scourie to Lairg"
"SC","M16F","Lochinver to Ullapool","16F: Lochinver to Ullapool"
"SC","M17","Skye, Rum and Mull","17: Skye, Rum and Mull"
"SC","M17A","North Skye and Raasay","17A: North Skye and Raasay"
"SC","M17B","Minginish and the Cuillin Hills","17B: Minginish and the Cuillin Hills"
"SC","M17C","South-East Skye and Scalpay","17C: South-East Skye and Scalpay"
"SC","M17D","Canna, Rhum and Eigg","17D: Canna, Rhum and Eigg"
"SC","M17E","Mull and Nearby Islands","17E: Mull and Nearby Islands"
"SC","M17F","Coll and Tiree","17F: Coll and Tiree"
"SC","M18","Ardnamurchan to Loch Linnhe","18: Ardnamurchan to Loch Linnhe"
"SC","M18A","Moidart and Ardnamurchan","18A: Moidart and Ardnamurchan"
"SC","M18B","Sunart and Ardgour","18B: Sunart and Ardgour"
"SC","M18C","Morvern and Kingairloch","18C: Morvern and Kingairloch"
"SC","M19","Oban to Dunoon and the Mull of Kintyre","19: Oban to Dunoon and the Mull of Kintyre"
"SC","M19A","Oban to Loch Fyne","19A: Oban to Loch Fyne"
"SC","M19B","Knapdale and Kintyre","19B: Knapdale and Kintyre"
"SC","M19C","Loch Fyne to Bute and the Firth of Clyde","19C: Loch Fyne to Bute and the Firth of Clyde"
"SC","M20","Jura and Arran","20: Jura and Arran"
"SC","M20A","Jura, Scarba and Colonsay","20A: Jura, Scarba and Colonsay"
"SC","M20B","Islay","20B: Islay"
"SC","M20C","Arran and Holy Island","20C: Arran and Holy Island"
"SC","M21","Strathspey to Aberdeen","21: Strathspey to Aberdeen"
"SC","M21A","Tomintoul to Banff","21A: Tomintoul to Banff"
"SC","M21B","Fraserburgh to the Dee Valley","21B: Fraserburgh to the Dee Valley"
"SC","M22","Shetland Islands","22: Shetland Islands"
"SC","M23","Orkney Islands","23: Orkney Islands"
"SC","M24","Western Isles","24: Western Isles"
"SC","M24A","Lewis and Nearby Islands","24A: Lewis and Nearby Islands"
"SC","M24B","Harris and Nearby Islands","24B: Harris and Nearby Islands"
"SC","M24C","North Uist, South Uist and Nearby Islands","24C: North Uist, South Uist and Nearby Islands"
"SC","M24D","Barra to Barra Head","24D: Barra to Barra Head"
"SC","M25","St Kilda","25: St Kilda"
"SC","M26","Central Scotland from Dumbarton to Montrose","26: Central Scotland from Dumbarton to Montrose"
"SC","M27","South-West Scotland","27: South-West Scotland"
"SC","M27A","Ayr to the River Clyde","27A: Ayr to the River Clyde"
"SC","M27B","Carrick and Galloway","27B: Carrick and Galloway"
"SC","M27C","The Glenkens to Annandale","27C: The Glenkens to Annandale"
"SC","M28","Firth of Forth to the English Border","28: Firth of Forth to the English Border"
"SC","M28A","Firth of Forth to the River Tweed","28A: Firth of Forth to the River Tweed"
"SC","M28B","The River Tweed to the English Border","28B: The River Tweed to the English Border"
"SC","U150","Aberdeen","Aberdeen (UA)"
"SC","U151","Aberdeenshire","Aberdeenshire (UA)"
"SC","U152","Angus","Angus (UA)"
"SC","U153","Argyll and Bute","Argyll and Bute (UA)"
"SC","U154","Clackmannanshire","Clackmannanshire (UA)"
"SC","U155","Dumfries and Galloway","Dumfries and Galloway (UA)"
"SC","U156","Dundee","Dundee (UA)"
"SC","U157","East Ayrshire","East Ayrshire (UA)"
"SC","U158","East Dunbartonshire","East Dunbartonshire (UA)"
"SC","U159","East Lothian","East Lothian (UA)"
"SC","U160","East Renfrewshire","East Renfrewshire (UA)"
"SC","U161","Edinburgh","Edinburgh (UA)"
"SC","U162","Falkirk","Falkirk (UA)"
"SC","U163","Fife","Fife (UA)"
"SC","U164","Glasgow","Glasgow (UA)"
"SC","U165","Highland","Highland (UA)"
"SC","U166","Inverclyde","Inverclyde (UA)"
"SC","U167","Midlothian","Midlothian (UA)"
"SC","U168","Moray","Moray (UA)"
"SC","U169","Na h-Eileanan Siar [Western Isles]","Western Isles [Western Isles] (UA)"
"SC","U170","North Ayrshire","North Ayrshire (UA)"
"SC","U171","North Lanarkshire","North Lanarkshire (UA)"
"SC","U172","Orkney Islands","Orkney Islands (UA)"
"SC","U173","Perth and Kinross","Perth and Kinross (UA)"
"SC","U174","Renfrewshire","Renfrewshire (UA)"
"SC","U175","Scottish Borders","Scottish Borders (UA)"
"SC","U176","Shetland Islands","Shetland Islands (UA)"
"SC","U177","South Ayrshire","South Ayrshire (UA)"
"SC","U178","South Lanarkshire","South Lanarkshire (UA)"
"SC","U179","Stirling","Stirling (UA)"
"SC","U180","West Dunbartonshire","West Dunbartonshire (UA)"
"SC","U181","West Lothian","West Lothian (UA)"
"EW","CTOPS","Historic County Tops","Historic County Tops of England and Wales"
"EW","ATOPS","Administrative County (1974) Tops","Administrative County (1974) Tops of England and Wales"
"EW","UTOPS","Current County/UA Tops","Current County/Unitary Authority Tops of England and Wales"
"SC","CTOPS","Historic County Tops","Historic County Tops of Scotland"
"SC","ATOPS","Administrative County (1975) Tops","Administrative County (1975) Tops of Scotland"
"SC","UTOPS","Current County/UA Tops","Current County/Unitary Authority Tops of Scotland"
"IR","CTOPS","Historic County Tops","Historic County Tops of Ireland"
"EN","L01","Barking and Dagenham","Barking and Dagenham (LB)"
"EN","L02","Barnet","Barnet (LB)"
"EN","L03","Bexley","Bexley (LB)"
"EN","L04","Brent","Brent (LB)"
"EN","L05","Bromley","Bromley (LB)"
"EN","L06","Camden","Camden (LB)"
"EN","L07","City of London","City of London"
"EN","L08","City of Westminster","City of Westminster (LB)"
"EN","L09","Croydon","Croydon (LB)"
"EN","L10","Ealing","Ealing (LB)"
"EN","L11","Enfield","Enfield (LB)"
"EN","L12","Greenwich","Greenwich (LB)"
"EN","L13","Hackney","Hackney (LB)"
"EN","L14","Hammersmith and Fulham","Hammersmith and Fulham (LB)"
"EN","L15","Haringey","Haringey (LB)"
"EN","L16","Harrow","Harrow (LB)"
"EN","L17","Havering","Havering (LB)"
"EN","L18","Hillingdon","Hillingdon (LB)"
"EN","L19","Hounslow","Hounslow (LB)"
"EN","L20","Islington","Islington (LB)"
"EN","L21","Kensington and Chelsea","Kensington and Chelsea (LB)"
"EN","L22","Kingston upon Thames","Kingston upon Thames (LB)"
"EN","L23","Lambeth","Lambeth (LB)"
"EN","L24","Lewisham","Lewisham (LB)"
"EN","L25","Merton","Merton (LB)"
"EN","L26","Newham","Newham (LB)"
"EN","L27","Redbridge","Redbridge (LB)"
"EN","L28","Richmond upon Thames","Richmond upon Thames (LB)"
"EN","L29","Southwark","Southwark (LB)"
"EN","L30","Sutton","Sutton (LB)"
"EN","L31","Tower Hamlets","Tower Hamlets (LB)"
"EN","L32","Waltham Forest","Waltham Forest (LB)"
"EN","L33","Wandsworth","Wandsworth (LB)"
"EN","LTOPS","London Borough tops","London Borough tops"
"SC","D01","Glen Artney Hills","Glen Artney Hills"
"SC","D02","Ochil Hills","Ochil Hills"
"SC","D03","Moorfoot Hills","Moorfoot Hills"
"SC","D04","Culter Hills and Tinto","Culter Hills and Tinto"
"SC","D05","Manor Hills","Manor Hills"
"SC","D06","Moffat Hills","Moffat Hills"
"SC","D07","Ettrick Hills","Ettrick Hills"
"SC","D08","Lowther Hills","Lowther Hills"
"SC","D09","Carsphairn Hills","Carsphairn Hills"
"SC","D10","Galloway Hills","Galloway Hills"
"SC","D11","Roxburgh and Cheviots","Roxburgh and Cheviots"
"SC","M05A","Loch Ericht to Glen Tromie and Glen Garry","5A: Loch Ericht to Glen Tromie and Glen Garry"
"SC","M05B","Loch Ericht to Glen Tromie and Glen Garry","5B: Loch Ericht to Glen Tromie and Glen Garry"
"EN","U142","Cheshire West and Chester","Cheshire West and Chester (UA)"
"EN","U143","Bedford Borough","Bedford Borough (UA)"
"EN","H01","Cheshire & Southern Pennines","Cheshire & Southern Pennines"
"EN","H02","Chiltern Hills","Chiltern Hills"
"WA","H03","Clwydian Hills","Clwydian Hills"
"EN","H04","Cotswolds","Cotswolds"
"EN","H05","Exmoor","Exmoor"
"EN","H06","Forest of Bowland","Forest of Bowland"
"WA","H07","Hiraethog","Hiraethog"
"EN","H08","Kielder","Kielder"
"EN","H09","Lancashire","Lancashire"
"WA","H10","Lleyn Peninsula","Lleyn Peninsula"
"EN","H11","North Downs","North Downs"
"EN","H12","North London","North London"
"EN","H13","North York Moors","North York Moors"
"EN","H14","Quantock Hills","Quantock Hills"
"EN","H15","South Downs","South Downs"
"EN","H16","South London","South London"
"SC","I01","Ailsa Craig","Ailsa Craig"
"WA","I02","Anglesey","Anglesey"
"SC","I03","Arnamuil (Mingulay)","Arnamuil (Mingulay)"
"SC","I04","Arran","Arran"
"WA","I05","Bardsey Island","Bardsey Island"
"SC","I06","Barra","Barra"
"SC","I07","Bass Rock","Bass Rock"
"SC","I08","Benbecula","Benbecula"
"SC","I09","Berneray","Berneray"
"SC","I10","Boreray","Boreray"
"SC","I11","Bressay","Bressay"
"SC","I12","Bute","Bute"
"IM","I13","Calf of Man","Calf of Man"
"SC","I14","Canna","Canna"
"SC","I15","Carna","Carna"
"SC","I16","Coll","Coll"
"SC","I17","Colonsay","Colonsay"
"SC","I18","Dun","Dun"
"SC","I19","Eday","Eday"
"SC","I20","Eigg","Eigg"
"SC","I21","Eilean an Taighe (Shiant Islands)","Eilean an Taighe (Shiant Islands)"
"SC","I22","Eilean Mor (Crowlin Islands)","Eilean Mor (Crowlin Islands)"
"SC","I23","Eilean Shiphoirt","Eilean Shiphoirt"
"SC","I24","Eilean Shona","Eilean Shona"
"SC","I25","Eilean Tigh (Raasay)","Eilean Tigh (Raasay)"
"SC","I26","Eriskay","Eriskay"
"SC","I27","Fair Isle","Fair Isle"
"SC","I28","Fetlar","Fetlar"
"SC","I29","Foula","Foula"
"SC","I30","Fuidheigh (Barra)","Fuidheigh (Barra)"
"SC","I31","Gairsay","Gairsay"
"SC","I32","Garbh Eileach (Garvellachs)","Garbh Eileach (Garvellachs)"
"SC","I33","Garbh Eilean (Shiant Islands)","Garbh Eilean (Shiant Islands)"
"SC","I34","Gigha","Gigha"
"SC","I35","Gometra","Gometra"
"SC","I36","Great Cumbrae","Great Cumbrae"
"SC","I37","Gruinard Island","Gruinard Island"
"SC","I38","Handa","Handa"
"SC","I39","Harris","Harris"
"SC","I40","Hirta","Hirta"
"WA","I41","Holy Island (Anglesey)","Holy Island (Anglesey)"
"SC","I42","Holy Island (Arran)","Holy Island (Arran)"
"SC","I43","Hoy","Hoy"
"SC","I44","Iona","Iona"
"SC","I45","Island Davaar","Island Davaar"
"SC","I46","Islay","Islay"
"SC","I47","Isle Martin","Isle Martin"
"IM","I48","Isle of Man","Isle of Man"
"EN","I49","Isle of Wight","Isle of Wight"
"SC","I50","Jura","Jura"
"SC","I51","Kerrera","Kerrera"
"SC","I52","Lewis","Lewis"
"SC","I53","Lianamuil (Mingulay)","Lianamuil (Mingulay)"
"SC","I54","Lismore","Lismore"
"SC","I55","Little Cumbrae","Little Cumbrae"
"EN","I56","Lundy","Lundy"
"SC","I57","Lunga (Scarba)","Lunga (Scarba)"
"SC","I58","Lunga (Treshnish Isles)","Lunga (Treshnish Isles)"
"SC","I59","Maol Domhnaich","Maol Domhnaich"
"SC","I60","Mingulay","Mingulay"
"SC","I61","Monadh Liath","Monadh Liath"
"SC","I62","Muck","Muck"
"SC","I63","Muckle Roe","Muckle Roe"
"SC","I64","Mull","Mull"
"SC","I65","North Uist","North Uist"
"SC","I66","Noss","Noss"
"SC","I67","Oldany Island","Oldany Island"
"SC","I68","Orkney Mainland","Orkney Mainland"
"SC","I69","Pabbay (Barra)","Pabbay (Barra)"
"SC","I70","Pabbay (Harris)","Pabbay (Harris)"
"SC","I71","Raasay","Raasay"
"WA","I72","Ramsey","Ramsey"
"SC","I73","Rona (North)","Rona (North)"
"SC","I74","Rona (Raasay)","Rona (Raasay)"
"SC","I75","Ronay","Ronay"
"SC","I76","Rousay","Rousay"
"SC","I77","Rum","Rum"
"SC","I78","Sanda Island","Sanda Island"
"SC","I79","Sandray","Sandray"
"SC","I80","Scalpay (Harris)","Scalpay (Harris)"
"SC","I81","Scalpay (Skye)","Scalpay (Skye)"
"SC","I82","Scarba","Scarba"
"SC","I83","Scarp","Scarp"
"SC","I84","Seil","Seil"
"SC","I85","Shetland Mainland","Shetland Mainland"
"SC","I86","Skye","Skye"
"SC","I87","Soay (Skye)","Soay (Skye)"
"SC","I88","Soay (St Kilda)","Soay (St Kilda)"
"SC","I89","South Ronaldsay","South Ronaldsay"
"SC","I90","South Uist","South Uist"
"EN","I91","St Mary's (Isles of Scilly)","St Mary's (Isles of Scilly)"
"SC","I92","Stac an Armin","Stac an Armin"
"SC","I93","Stac Lee","Stac Lee"
"SC","I94","Tanera More (Summer Isles)","Tanera More (Summer Isles)"
"SC","I95","Taransay","Taransay"
"SC","I96","Tiree","Tiree"
"SC","I97","Ulva","Ulva"
"SC","I98","Unst","Unst"
"SC","I99","Vatersay","Vatersay"
"SC","I100","Westray","Westray"
"SC","I101","Whalsay","Whalsay"
"SC","I102","Wiay [Fuidheigh]","Wiay [Fuidheigh]"
"SC","I103","Yell","Yell"
"XX","I","(All)","(All)"
